SOIL_LANDSCAPE_ID,ERI_1981_VAL,ERI_1981_CLASS,ERI_1981_CLASS_EN,ERI_1981_CLASS_FR,ERI_1986_VAL,ERI_1986_CLASS,ERI_1986_CLASS_EN,ERI_1986_CLASS_FR,ERI_1991_VAL,ERI_1991_CLASS,ERI_1991_CLASS_EN,ERI_1991_CLASS_FR,ERI_1996_VAL,ERI_1996_CLASS,ERI_1996_CLASS_EN,ERI_1996_CLASS_FR,ERI_2001_VAL,ERI_2001_CLASS,ERI_2001_CLASS_EN,ERI_2001_CLASS_FR,ERI_2006_VAL,ERI_2006_CLASS,ERI_2006_CLASS_EN,ERI_2006_CLASS_FR,ERI_2011_VAL,ERI_2011_CLASS,ERI_2011_CLASS_EN,ERI_2011_CLASS_FR,ERI_2016_VAL,ERI_2016_CLASS,ERI_2016_CLASS_EN,ERI_2016_CLASS_FR,ERI_2021_VAL,ERI_2021_CLASS,ERI_2021_CLASS_EN,ERI_2021_CLASS_FR,ERI_81_21_CHG_VAL,ERI_81_21_CHG_CLASS,ERI_81_21_CHG_CLASS_EN,ERI_81_21_CHG_CLASS_FR
776001,13.469,3,Moderate,Moyen,12.814,3,Moderate,Moyen,12.281,3,Moderate,Moyen,8.666,2,Low,Faible,5.942,1,Very Low,Très faible,5.163,1,Very Low,Très faible,4.344,1,Very Low,Très faible,4.212,1,Very Low,Très faible,3.7,1,Very Low,Très faible,-9.769,-2,Large Decrease,Grande diminuation
776002,13.066,3,Moderate,Moyen,12.166,3,Moderate,Moyen,11.472,3,Moderate,Moyen,8.534,2,Low,Faible,6.378,2,Low,Faible,5.311,1,Very Low,Très faible,4.909,1,Very Low,Très faible,4.241,1,Very Low,Très faible,3.727,1,Very Low,Très faible,-9.339,-2,Large Decrease,Grande diminuation
776003,6.337,2,Low,Faible,6.005,2,Low,Faible,6.003,2,Low,Faible,4.017,1,Very Low,Très faible,3.033,1,Very Low,Très faible,2.658,1,Very Low,Très faible,2.553,1,Very Low,Très faible,2.424,1,Very Low,Très faible,1.985,1,Very Low,Très faible,-4.352,-1,Decrease,Diminuation
776004,21.06,3,Moderate,Moyen,17.952,3,Moderate,Moyen,15.647,3,Moderate,Moyen,10.685,2,Low,Faible,7.184,2,Low,Faible,7.11,2,Low,Faible,5.398,1,Very Low,Très faible,4.924,1,Very Low,Très faible,4.538,1,Very Low,Très faible,-16.522,-2,Large Decrease,Grande diminuation
776005,18.74,3,Moderate,Moyen,17.129,3,Moderate,Moyen,16.29,3,Moderate,Moyen,11.854,3,Moderate,Moyen,8.816,2,Low,Faible,6.827,2,Low,Faible,6.544,2,Low,Faible,5.677,1,Very Low,Très faible,5.072,1,Very Low,Très faible,-13.668,-2,Large Decrease,Grande diminuation
777001,6.929,2,Low,Faible,6.805,2,Low,Faible,6.982,2,Low,Faible,5.452,1,Very Low,Très faible,3.459,1,Very Low,Très faible,2.548,1,Very Low,Très faible,1.717,1,Very Low,Très faible,1.442,1,Very Low,Très faible,1.451,1,Very Low,Très faible,-5.478,-1,Decrease,Diminuation
777002,9.015,2,Low,Faible,9.306,2,Low,Faible,8.721,2,Low,Faible,6.48,2,Low,Faible,3.923,1,Very Low,Très faible,3.346,1,Very Low,Très faible,2.386,1,Very Low,Très faible,1.931,1,Very Low,Très faible,2.094,1,Very Low,Très faible,-6.921,-2,Large Decrease,Grande diminuation
777003,13.158,3,Moderate,Moyen,13.36,3,Moderate,Moyen,13.487,3,Moderate,Moyen,9.869,2,Low,Faible,6.533,2,Low,Faible,4.771,1,Very Low,Très faible,3.447,1,Very Low,Très faible,3.022,1,Very Low,Très faible,3.151,1,Very Low,Très faible,-10.007,-2,Large Decrease,Grande diminuation
778001,17.284,3,Moderate,Moyen,15.854,3,Moderate,Moyen,14.736,3,Moderate,Moyen,10.467,2,Low,Faible,9.287,2,Low,Faible,6.99,2,Low,Faible,4.876,1,Very Low,Très faible,4.539,1,Very Low,Très faible,4.246,1,Very Low,Très faible,-13.038,-2,Large Decrease,Grande diminuation
779001,31.321,4,High,Élevé,30.196,4,High,Élevé,29.374,4,High,Élevé,23.82,4,High,Élevé,16.9,3,Moderate,Moyen,11.644,3,Moderate,Moyen,8.385,2,Low,Faible,7.28,2,Low,Faible,7.903,2,Low,Faible,-23.418,-2,Large Decrease,Grande diminuation
779002,37.513,5,Very High,Très élevé,36.026,5,Very High,Très élevé,34.313,5,Very High,Très élevé,29.776,4,High,Élevé,21.356,3,Moderate,Moyen,16.565,3,Moderate,Moyen,12.646,3,Moderate,Moyen,10.723,2,Low,Faible,10.792,2,Low,Faible,-26.721,-2,Large Decrease,Grande diminuation
780001,9.242,2,Low,Faible,8.168,2,Low,Faible,6.909,2,Low,Faible,5.638,1,Very Low,Très faible,4.916,1,Very Low,Très faible,3.754,1,Very Low,Très faible,2.837,1,Very Low,Très faible,2.969,1,Very Low,Très faible,2.736,1,Very Low,Très faible,-6.506,-2,Large Decrease,Grande diminuation
780002,16.327,3,Moderate,Moyen,14.347,3,Moderate,Moyen,12.043,3,Moderate,Moyen,10.108,2,Low,Faible,9.128,2,Low,Faible,6.712,2,Low,Faible,5.291,1,Very Low,Très faible,5.735,1,Very Low,Très faible,4.951,1,Very Low,Très faible,-11.376,-2,Large Decrease,Grande diminuation
