SOIL_LANDSCAPE_ID,ERI_TILL_1981_VAL,ERI_TILL_1981_CLASS,ERI_TILL_1981_CLASS_EN,ERI_TILL_1981_CLASS_FR,ERI_TILL_1986_VAL,ERI_TILL_1986_CLASS,ERI_TILL_1986_CLASS_EN,ERI_TILL_1986_CLASS_FR,ERI_TILL_1991_VAL,ERI_TILL_1991_CLASS,ERI_TILL_1991_CLASS_EN,ERI_TILL_1991_CLASS_FR,ERI_TILL_1996_VAL,ERI_TILL_1996_CLASS,ERI_TILL_1996_CLASS_EN,ERI_TILL_1996_CLASS_FR,ERI_TILL_2001_VAL,ERI_TILL_2001_CLASS,ERI_TILL_2001_CLASS_EN,ERI_TILL_2001_CLASS_FR,ERI_TILL_2006_VAL,ERI_TILL_2006_CLASS,ERI_TILL_2006_CLASS_EN,ERI_TILL_2006_CLASS_FR,ERI_TILL_2011_VAL,ERI_TILL_2011_CLASS,ERI_TILL_2011_CLASS_EN,ERI_TILL_2011_CLASS_FR,ERI_TILL_2016_VAL,ERI_TILL_2016_CLASS,ERI_TILL_2016_CLASS_EN,ERI_TILL_2016_CLASS_FR,ERI_TILL_2021_VAL,ERI_TILL_2021_CLASS,ERI_TILL_2021_CLASS_EN,ERI_TILL_2021_CLASS_FR,ERI_TILL_81_21_CHG_VAL,ERI_TILL_81_21_CHG_CLASS,ERI_TILL_81_21_CHG_CLASS_EN,ERI_TILL_81_21_CHG_CLASS_FR
485016,10.617,2,Low,Faible,8.531,2,Low,Faible,5.316,1,Very Low,Très faible,10.401,2,Low,Faible,9.365,2,Low,Faible,9.2,2,Low,Faible,5.641,1,Very Low,Très faible,8.032,2,Low,Faible,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
486004,3.325,1,Very Low,Très faible,5.097,1,Very Low,Très faible,4.118,1,Very Low,Très faible,3.735,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,3.103,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
486009,3.331,1,Very Low,Très faible,3.552,1,Very Low,Très faible,3.596,1,Very Low,Très faible,3.313,1,Very Low,Très faible,3.388,1,Very Low,Très faible,2.996,1,Very Low,Très faible,2.682,1,Very Low,Très faible,2.453,1,Very Low,Très faible,2.151,1,Very Low,Très faible,-1.18,-1,Decrease,Diminuation
486010,5.556,1,Very Low,Très faible,5.794,1,Very Low,Très faible,6.756,2,Low,Faible,6.366,2,Low,Faible,5.123,1,Very Low,Très faible,4.963,1,Very Low,Très faible,4.787,1,Very Low,Très faible,4.418,1,Very Low,Très faible,3.332,1,Very Low,Très faible,-2.224,-1,Decrease,Diminuation
486011,4.068,1,Very Low,Très faible,4.384,1,Very Low,Très faible,4.32,1,Very Low,Très faible,4.351,1,Very Low,Très faible,4.485,1,Very Low,Très faible,3.629,1,Very Low,Très faible,3.296,1,Very Low,Très faible,3.44,1,Very Low,Très faible,3.204,1,Very Low,Très faible,-0.863999999999999,0,Little or no change,Peu ou pas de changement
486023,12.603,3,Moderate,Moyen,11.328,3,Moderate,Moyen,12.529,3,Moderate,Moyen,10.706,2,Low,Faible,8.053,2,Low,Faible,9.69,2,Low,Faible,8.41,2,Low,Faible,8.546,2,Low,Faible,10.422,2,Low,Faible,-2.181,-1,Decrease,Diminuation
486024,22.308,4,High,Élevé,22.576,4,High,Élevé,22.334,4,High,Élevé,20.657,3,Moderate,Moyen,22.152,4,High,Élevé,19.64,3,Moderate,Moyen,16.775,3,Moderate,Moyen,16.176,3,Moderate,Moyen,17.68,3,Moderate,Moyen,-4.628,-1,Decrease,Diminuation
486025,2.158,1,Very Low,Très faible,2.254,1,Very Low,Très faible,2.079,1,Very Low,Très faible,2.173,1,Very Low,Très faible,2.222,1,Very Low,Très faible,1.969,1,Very Low,Très faible,1.772,1,Very Low,Très faible,1.786,1,Very Low,Très faible,2.452,1,Very Low,Très faible,0.294,0,Little or no change,Peu ou pas de changement
486029,6.321,2,Low,Faible,5.879,1,Very Low,Très faible,6.841,2,Low,Faible,7.356,2,Low,Faible,8.061,2,Low,Faible,7.155,2,Low,Faible,5.778,1,Very Low,Très faible,6.538,2,Low,Faible,7.015,2,Low,Faible,0.694,0,Little or no change,Peu ou pas de changement
486030,51.961,5,Very High,Très élevé,50.811,5,Very High,Très élevé,59.154,5,Very High,Très élevé,48.121,5,Very High,Très élevé,60.296,5,Very High,Très élevé,56.727,5,Very High,Très élevé,41.776,5,Very High,Très élevé,41.323,5,Very High,Très élevé,51.803,5,Very High,Très élevé,-0.158000000000001,0,Little or no change,Peu ou pas de changement
